30/6/19,-84,GRILLD PTY LTD           CHATSWOOD
8/6/19,-49,MYRP.COM.AU PTY LTD      EAGLE FARM
4/6/19,7650.31,"PAYMENT RECEIVED, THANK YOU"
14/5/19,-19.24,WILSON PARKING SYD235    SYDNEY      NSW
13/5/19,-8.48,SMP*Caffe Amici          SYDNEY      AUS
13/5/19,-10,TOMTIN PTY LTD           SYDNEY      NSW
12/5/19,-40.18,RMS ETOLL PH 131865      PARRAMATTA
12/5/19,-31.88,WOOLWORTHS 1561          KELLYVILLE
12/5/19,-50,WOOLWORTHS 1561          KELLYVILLE
12/5/19,-60.59,BUNNINGS 339000          CASTLE HILL
11/5/19,-137.35,ZAMZAM MARKET            AUBURN      NSW
11/5/19,-43,Belles Take2             Barangaroo  NSW
10/5/19,-4,ALANA ALANA CAFE PL      SYDNEY      NSW
10/5/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY
9/5/19,-9,LANTERN XPRESS           SYDNEY      NSW
9/5/19,-7,ALANA ALANA CAFE PL      SYDNEY      NSW
9/5/19,-424.2,PAYPAL *DIBP             4029357733  AUS
8/5/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW
8/5/19,-9,HONG KONG FLAVOURS       SYDNEY      NSW
6/5/19,-239.19,PAYPAL *AGLENERGYLI      4029357733  AUS
6/5/19,5032.2,"PAYMENT RECEIVED, THANK YOU"
6/5/19,-12,X-OPORTO SYDNEY CENQPS   SYDNEY
4/5/19,-59.35,WOOLWORTHS 1561          KELLYVILLE
4/5/19,-203.4,BUNNINGS 413000          DURAL
3/5/19,-15,ALANA ALANA CAFE PL      SYDNEY      NSW
3/5/19,-9,ALANA ALANA CAFE PL      SYDNEY      NSW
2/5/19,-10,UMAI SUSHI               SYDNEY      NSW
2/5/19,-9.5,BUTTER SALT PEPPER       SYDNEY      NSW
1/5/19,-10,TOMTIN PTY LTD           SYDNEY      NSW
1/5/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW
30/4/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW
30/4/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY
29/4/19,-4.5,ALANA ALANA CAFE PL      SYDNEY      NSW
29/4/19,-9.5,LIME ESPRESSO SANDWI     SYDNEY      NSW
29/4/19,-80,TRANSPORTFORNSW OPAL     CHIPPENDALE
28/4/19,-274,SYDNEYS PLANT MARKET     ANNANGROVE  NSW
28/4/19,-50,KASART HAIR              LINDFIELD   NSW
27/4/19,-529,FLICK ANTICIMEX          HOMEBUSH
27/4/19,-34.91,IKEA MARSDEN PARK        MARSDEN PARKNSW
27/4/19,15,IKEA MARSDEN PARK        MARSDEN PARKNSW
26/4/19,-4,ALANA ALANA CAFE PL      SYDNEY      NSW
24/4/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY
23/4/19,-4764.09,HUNTER DOUGLAS LTD       RYDALMERE
23/4/19,-72,PAYPAL *BRGEXPERIEN      4029357733  AUS
23/4/19,-11.9,COCO RICO CAFE           SYDNEY      NSW
20/4/19,-138,SYDNEYS PLANT MARKET     ANNANGROVE  NSW
19/4/19,-15,MILAD SUPRMRKT PL        MERRYLANDS  NSW
18/4/19,-9.5,LIME ESPRESSO SANDWI     SYDNEY      NSW
17/4/19,-351.35,PAYPAL *AGLENERGYLI      4029357733  AUS
17/4/19,-12,X-OPORTO SYDNEY CENQPS   SYDNEY
16/4/19,-9.5,TOMTIN PTY LTD           SYDNEY      NSW
15/4/19,-12,MUMBAI EXPRESS CENTR     SYDNEY      NSW
14/4/19,-11,WOOLWORTHS 1561          KELLYVILLE
12/4/19,-9.95,SINDBAD KEBAB            SYDNEY      NSW
10/4/19,-16,TOMTIN PTY LTD           SYDNEY      NSW
10/4/19,-7.6,MBGP P/L                 SYDNEY      NSW
9/4/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW
9/4/19,-80,TRANSPORT FOR NSW        CHIPPENDALE
9/4/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY
8/4/19,-8,SUBWAY MARKET STREET     SYDNEY      NSW
7/4/19,-402.93,IKEA MARSDEN PARK        MARSDEN PARKNSW
5/4/19,-9.5,TOMTIN PTY LTD           SYDNEY      NSW
4/4/19,-13.5,X-OPORTO SYDNEY CENQPS   SYDNEY
3/4/19,-17.5,POTTERY GREEN BAKERS     LANE COVE   NSW
3/4/19,-11,H Z FAST FOOD CHAIN      SYDNEY      NSW
3/4/19,-64.39,WOOLWORTHS 1561          KELLYVILLE
2/4/19,-9.95,SUBWAY MARKET STREET     SYDNEY      NSW
1/4/19,-10,TOMTIN PTY LTD           SYDNEY      NSW
1/4/19,7919.65,"PAYMENT RECEIVED, THANK YOU"
31/3/19,-1061.81,IKEA MARSDEN PARK        MARSDEN PARKNSW
31/3/19,-34.9,IKEA MARSDEN PARK        MARSDEN PARKNSW
30/3/19,-20,THE CHOOK NORTH KELL     KELLYVILLE  NSW
30/3/19,-3,THE CHOOK NORTH KELL     KELLYVILLE  NSW
30/3/19,-67.5,BUNNINGS 339000          CASTLE HILL
29/3/19,-7.5,BUTTER SALT PEPPER       SYDNEY      NSW
29/3/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW
28/3/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY
27/3/19,-11.45,NANDOS 200029            SYDNEY      NSW
26/3/19,-12,MUMBAI EXPRESS CENTR     SYDNEY      NSW
25/3/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW
21/3/19,-4.8,ROMEOS FOODHALL          ST LEONARDS
20/3/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW
19/3/19,-40.18,RMS ETOLL PH 131865      PARRAMATTA
19/3/19,-11.5,MAD MEX FRESH MEXICQPS   SYDNEY
18/3/19,-80,TRANSPORT FOR NSW        CHIPPENDALE
18/3/19,-108.73,BUNNINGS 339000          CASTLE HILL
18/3/19,-3.62,BUNNINGS 339000    QPS   CASTLE HILL
17/3/19,-189.8,VICTORIAS BASEMENT       AUBURN      NSW
17/3/19,-100,COLES EXPRESS 1589       WEST RYDE   AUS
17/3/19,-2.28,BUNNINGS 339000    QPS   CASTLE HILL
17/3/19,-36.76,ALDI STORES - NORTH KE   KELLYVILLE
14/3/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW
14/3/19,-15.5,TOMTIN PTY LTD           SYDNEY
13/3/19,-8,SUBWAY MARKET STREET     SYDNEY      NSW
13/3/19,-2510,DOMAYNE BEDDING NORT     NORTH RYDE  NSW
12/3/19,-9.5,TOMTIN PTY LTD           SYDNEY
11/3/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW
10/3/19,-25,KASART HAIR              LINDFIELD   NSW
9/3/19,-2359,HARVEY NORMAN FURNIT     CASTLE HILL NSW
9/3/19,-3569,HARVEY NORMAN AV/IT      CASTLE HILL NSW
9/3/19,-186,HARVEY NORMAN AV/IT      CASTLE HILL NSW
9/3/19,-361,HARVEY NORMAN AV/IT      CASTLE HILL NSW
9/3/19,-880,BEDS N DREAMS            CASTLE HILL
8/3/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW
7/3/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW
