Date,Amount,Description,Keyword,Merchant,Category,Exception
27/11/20,-14.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
26/11/20,-14.9,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
24/11/20,-10.95,THE YORK STREET EATE     SYDNEY      NSW,TheYorkStreetEat,TheYorkStreetEatery,Restaurant,
18/11/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
13/11/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
12/11/20,-40.18,RMS ETOLL PH 131865      PARRAMATTA  NSW,RMSEtoll,RMS-Etoll,Car-Tolls,
12/11/20,-112.43,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
12/11/20,-52.35,INTEREST CHARGES,InterestCharges,CreditCardInterest,Interest,
10/11/20,-8.95,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
22/11/20,-20,KENTHURST GROUP PTY ANNANGROVE AU,KENTHURSTGROUP,SydneyPlantMarket,House-Gardening,
7/11/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
6/11/20,-10.9,LIME ESPRESSO SANDWI     SYDNEY      NSW,Lime,Lime,Restaurant,
4/11/20,-50.22,SERVICE NSW              SYDNEY,SERVICENSW,NationalParksNSW,Car-Parking,
4/11/20,-378.66,SERVICE NSW              SYDNEY,SERVICENSW,RMS-Rego,Car-Rego,
4/11/20,-542,ALLIANZ INSURE C1        SYDNEY      NSW,Allianz,Allianz,Car-Insurance,
4/11/20,1829.27,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
4/11/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
3/11/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
31/10/20,-105,MYER  CASTLE HILL        CASTLE HILL NSW,Myer,Myer,Shopping,
31/10/20,349.36,MYER  CASTLE HILL        CASTLE HILL NSW,Myer,Myer,Shopping,
31/10/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
30/10/20,-172.95,SYDNEY PHARMACY          SYDNEY      NSW,SydneyPharmacy,SydneyPharmacy,Medical-Medicine,
29/10/20,-14.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
