"","eventTime","description","category","subcategory","source","value"
"1",2020-08-17,"FLEXICARDS AUSTRALIA P   SYDNEY      NSW","House","Furniture","N",-351.03
"2",2021-02-22,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"3",2021-01-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"4",2020-12-21,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"5",2020-11-20,"Direct Debit 232275 Skye MasterCard 2103130007_OTDD","House","Furniture","N",-351.03
"6",2020-10-20,"Direct Debit 232275 Skye MasterCard 2103130007_OTDD","House","Furniture","N",-351.03
"7",2020-09-09,"Skye Mastercard NetBank BPAY 287714 2103130007 SKYEBILLDUE04SEP20","House","Furniture","N",-351.03
"8",2022-07-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"9",2022-06-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"10",2022-05-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"11",2022-04-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"12",2022-03-21,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"13",2022-02-21,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"14",2022-01-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"15",2021-12-21,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"16",2021-11-22,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"17",2021-10-21,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"18",2021-09-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"19",2021-08-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"20",2021-07-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"21",2021-06-21,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"22",2021-05-20,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
"23",2021-04-21,"Direct Debit 232275 humm Cards 2103130007_OTDD","House","Furniture","N",-351.03
