note,duration,octave,part,measure,chord,lyrics,track,pitch
r,4,NA,A,1,,,Melody,NA
r,1,NA,A,1,,,Melody,NA
d,1,4,A,1,,,Melody,D4
b_,1,4,A,1,,,Melody,B-4
a,1,4,A,1,,,Melody,A4
g,4,4,A,2,Gm,,Melody,G4
g,1,4,A,2,,,Melody,G4
f,1,4,A,2,,,Melody,F4
e_,1,4,A,2,,,Melody,E-4
d,1,4,A,2,,,Melody,D4
e_,4,4,A,3,Cm,,Melody,E-4
r,1,NA,A,3,,,Melody,NA
c,1,4,A,3,,,Melody,C3
c,1,5,A,3,,,Melody,C4
b_,1,4,A,3,,,Melody,B-4
a,3,4,A,4,F,,Melody,A4
f,1,4,A,4,,,Melody,F4
g,2,4,A,4,,,Melody,G4
f,1,4,A,4,,,Melody,F4
e_,1,4,A,4,,,Melody,E-4
d,4,4,A,5,Gm,,Melody,D4
r,1,4,A,5,,,Melody,NA
d,1,4,A,5,,,Melody,D4
b_,1,4,A,5,,,Melody,B-4
a,1,4,A,5,,,Melody,A4
g,4,4,A,6,,,Melody,G4
r,1,4,A,6,,,Melody,NA
f,1,4,A,6,,,Melody,F4
e_,1,4,A,6,,,Melody,E-4
d,1,4,A,6,,,Melody,D4
e_,4,4,A,7,Cm,,Melody,E-4
r,1,NA,A,7,,,Melody,NA
c,1,4,A,7,,,Melody,A3
f,1,4,A,7,,,Melody,E-4
b_,1,4,A,7,,,Melody,B-4
a,4,4,A,8,F,,Melody,A4
r,1,4,A,8,,,Melody,NA
a,1,4,A,8,,,Melody,A4
g,1,4,A,8,,,Melody,G4
f,1,4,A,8,,,Melody,F4
g,4,4,A,9,Gm,,Melody,G4
r,4,NA,A,9,,,Melody,NA
r,4,4,B,10,,,Melody,NA
r,1,4,B,10,,,Melody,NA
d,1,4,B,10,,cha,Melody,D4
g,1,4,B,10,,ma,Melody,G4
a,1,4,B,10,,doo,Melody,A4
b_,4,4,B,11,,naa,Melody,B-4
a,1,4,B,11,,moo,Melody,A4
g,2,4,B,11,,no,Melody,G4
f,1,4,B,11,,bas,Melody,F4
e_,4,4,B,12,Cm,tim,Melody,E-4
r,1,4,B,12,,,Melody,NA
e_,1,4,B,12,,mes,Melody,E-4
f,1,4,B,12,,le,Melody,A4
g,1,4,B,12,,chesh,Melody,G4
a,1,4,B,13,F,ma,Melody,A4
a,4,4,B,13,,moon,Melody,A4
g,1,4,B,13,,ro,Melody,G4
f,2,4,B,13,,khoo,Melody,F4
g,4,4,B,14,Gm,ne,Melody,A4
r,1,4,B,14,,,Melody,NA
d,1,4,B,14,,mi,Melody,D4
g,1,4,B,14,,doo,Melody,G4
a,1,4,B,14,,nes,Melody,A4
b_,4,4,B,15,Gm,tim,Melody,B-4
a,1,4,B,15,,da,Melody,A4
g,1,4,B,15,,me,Melody,G4
f,2,4,B,15,,aa,Melody,F4
e_,4,4,B,16,Cm,khar,Melody,E-4
r,1,4,B,16,,,Melody,NA
e_,1,4,B,16,,ye,Melody,E-4
f,1,4,B,16,,chi,Melody,F4
g,1,4,B,16,,za,Melody,G4
a,4,4,B,17,F,yi,Melody,A4
a,1,4,B,17,,ja,Melody,A4
b_,1,4,B,17,,mi,Melody,B-4
a,2,4,B,17,,moo,Melody,A4
g,4,4,B,18,Gm,ne,Melody,G4
r,1,4,B,18,,,Melody,NA
d,1,4,B,18,,pa,Melody,D4
g,1,4,B,18,,go,Melody,G4
a,1,4,B,18,,zash,Melody,A4
b_,4,4,B,19,Eb,tim,Melody,B-4
b_,1,4,B,19,,too,Melody,B-4
a,1,4,B,19,,ye,Melody,A4
g,2,4,B,19,,koo,Melody,G4
a,4,4,B,20,F,che,Melody,A4
c,1,4,B,20,,posh,Melody,C3
f,1,4,B,20,,te,Melody,F4
g,2,4,B,20,,maa,Melody,G4
a,1,4,B,21,F,da,Melody,A4
a,4,4,B,21,,raa,Melody,A4
f,1,4,B,21,,ro,Melody,F4
e_,2,4,B,21,,bas,Melody,E-4
d,4,4,B,22,Gm,tan,Melody,D4
r,1,4,B,22,,,Melody,NA
d,1,4,B,22,,oo,Melody,D4
g,1,4,B,22,,naa,Melody,G4
a,3,4,B,22,,ke,Melody,A4
a,0,4,B,23,Eb,,Melody,A4
b_,2,4,B,23,,moon,Melody,B-4
b_,1,4,B,23,,da,Melody,B-4
c,1,5,B,23,,ne,Melody,C5
b_,2,4,B,23,,maa,Melody,B-4
a,4,4,B,24,F,ro,Melody,A4
f,1,4,B,24,,too,Melody,F4
f,1,4,B,24,,ye,Melody,F4
g,2,4,B,24,,khoo,Melody,G4
a,4,4,B,25,F,ne,Melody,A4
c,1,5,B,25,,ne,Melody,C5
b_,1,4,B,25,,mi,Melody,B-4
a,2,4,B,25,,khas,Melody,A4
g,4,4,B,26,Gm,tan,Melody,G4
r,1,NA,B,26,,,Melody,NA
d,1,5,B,26,,go,Melody,D5
d,1,5,B,26,,laa,Melody,D5
