"","eventID","caseID","eventType","eventTime","variable","value"
"1","LVRC.1.1",1,"LVR Changed",2012-02-03 11:33:48,"LVR","0.783998109909115"
"2","LVRC.1.2",1,"LVR Changed",2012-03-17 23:32:14,"LVR","0.795184233709812"
"3","LVRC.2.1",2,"LVR Changed",2011-01-02 23:13:49,"LVR","0.794078576895276"
"4","LVRC.2.2",2,"LVR Changed",2013-12-10 21:21:50,"LVR","0.786012286922321"
"5","LVRC.2.3",2,"LVR Changed",2015-05-25 05:09:41,"LVR","0.796997342971499"
"6","LVRC.3.1",3,"LVR Changed",2010-12-11 18:20:42,"LVR","0.803201039410673"
"7","LVRC.4.1",4,"LVR Changed",2010-08-25 10:03:11,"LVR","0.810813310008907"
"8","LVRC.5.1",5,"LVR Changed",2010-09-16 19:50:31,"LVR","0.806590148356013"
"9","LVRC.5.2",5,"LVR Changed",2010-11-01 03:52:40,"LVR","0.779357270126123"
"10","LVRC.6.1",6,"LVR Changed",2010-08-04 03:44:03,"LVR","0.789211912141781"
"11","LVRC.6.2",6,"LVR Changed",2011-07-18 05:24:31,"LVR","0.794129040022585"
"12","LVRC.6.3",6,"LVR Changed",2011-11-09 14:08:10,"LVR","0.812703142858199"
"13","LVRC.6.4",6,"LVR Changed",2011-11-15 23:20:02,"LVR","0.780920608513461"
"14","LVRC.7.1",7,"LVR Changed",2010-09-30 17:01:39,"LVR","0.789458140873842"
"15","LVRC.7.2",7,"LVR Changed",2011-11-11 19:31:08,"LVR","0.789296776079534"
"16","LVRC.7.3",7,"LVR Changed",2012-03-01 09:33:05,"LVR","0.794864568629034"
"17","LVRC.7.4",7,"LVR Changed",2012-12-02 17:41:29,"LVR","0.791622601508824"
"18","LVRC.7.5",7,"LVR Changed",2013-08-27 20:41:28,"LVR","0.813999737889433"
"19","LVRC.7.6",7,"LVR Changed",2013-10-02 04:03:46,"LVR","0.813029542942577"
"20","LVRC.7.7",7,"LVR Changed",2015-07-08 11:53:39,"LVR","0.798335311248709"
"21","LVRC.7.8",7,"LVR Changed",2015-09-05 02:46:25,"LVR","0.819875392160155"
"22","LVRC.7.9",7,"LVR Changed",2017-02-09 22:27:12,"LVR","0.810296835769563"
"23","LVRC.7.10",7,"LVR Changed",2018-08-16 19:11:06,"LVR","0.798810633555731"
"24","LVRC.7.11",7,"LVR Changed",2018-08-29 09:43:50,"LVR","0.809790684380688"
"25","LVRC.7.12",7,"LVR Changed",2019-10-07 00:38:44,"LVR","0.803585768072469"
"26","LVRC.7.13",7,"LVR Changed",2020-03-10 16:09:53,"LVR","0.805502147452793"
"27","LVRC.7.14",7,"LVR Changed",2020-11-13 10:22:53,"LVR","0.796840847315333"
"28","LVRC.7.15",7,"LVR Changed",2023-02-07 20:36:18,"LVR","0.795051458803408"
"29","LVRC.7.16",7,"LVR Changed",2024-08-03 14:35:39,"LVR","0.791145704632867"
"30","LVRC.7.17",7,"LVR Changed",2024-11-27 05:35:59,"LVR","0.802659505871237"
"31","LVRC.10.1",10,"LVR Changed",2011-04-14 23:16:30,"LVR","0.799542665145783"
"32","CCMP.2.1",2,"Customer Complaint",2016-03-27 16:12:09,"Theme","Service"
"33","CCMP.2.2",2,"Customer Complaint",2016-11-05 09:49:57,"Theme","Service"
"34","CCMP.3.1",3,"Customer Complaint",2010-08-01 16:43:16,"Theme","Service"
"35","CCMP.4.1",4,"Customer Complaint",2010-07-10 14:41:35,"Theme","Other"
"36","CCMP.6.1",6,"Customer Complaint",2011-02-19 23:32:57,"Theme","Service"
"37","CCMP.7.1",7,"Customer Complaint",2013-08-03 06:21:28,"Theme","Fee"
"38","CCMP.7.2",7,"Customer Complaint",2014-07-30 02:04:43,"Theme","Service"
"39","CCMP.7.3",7,"Customer Complaint",2020-11-27 10:23:56,"Theme","Fee"
"40","CCMP.10.1",10,"Customer Complaint",2011-09-29 22:45:20,"Theme","Service"
"41","PRNT.1.1",1,"Print Statement",2010-07-06 08:43:27,"Occurance","1"
"42","PRNT.1.2",1,"Print Statement",2010-07-08 16:59:48,"Occurance","1"
"43","PRNT.1.3",1,"Print Statement",2010-07-09 20:47:36,"Occurance","1"
"44","PRNT.1.4",1,"Print Statement",2010-07-10 10:57:50,"Occurance","1"
"45","PRNT.1.5",1,"Print Statement",2010-07-14 17:04:50,"Occurance","1"
"46","PRNT.1.6",1,"Print Statement",2010-07-16 09:15:22,"Occurance","1"
