"age","currentCreditScore","gender","totalCustomerTimeWithUs","numProducts","hasCreditCard","income","currentBalance","education","dependents","originalCreditScore","hasPersonalLoanAccount","mobileOrLandline","paperless","RBArateNow","RBArateAtOrigination","originalHPI","currentHPI","originalLTV","currentLTV","originalTimeToMaturity","originalInterestRate","currentInterestRate","principle","investmentProperty","firstHomeBuyer","timeSinceOrigination","monthlyMinimum","offsetAccountSize","maxMonthsLateInARow","averageRepaymentRatio","numberOfMissedPayments","externalRefinance","originationChannel","inbound_calls","outbound_calls","avg_dur_inbound","avg_dur_outbound","inbound_emails","outbound_emails","inbound_texts","outbound_texts","website_views","pricing_views","numberStatementsPrintedRecently","pri_contact_meth","lendureTenure","lenderLoanComposition","lenderImpliedChurnChance","churn"
42,619,"Female",2,1,1,101348.88,490735.901033768,10,0,506.257753798884,0,0,0,1.5,8.25,230,241.188795286093,32.7673848490885,187.453096580612,30,8.08391051227227,4.02450946299359,1570931,0,0,5,7522.0791217409,0,0,1.14547245074064,0,TRUE,0,1,0,5,0,2,0,1,1,1,3,0,1,6.1458902371687,0.153498910911452,1.01086790376916,0
41,608,"Female",1,1,0,112542.58,610403.229790233,2,0,578.478425753395,1,0,0,3,3.5,191.160630445761,168.560864659069,99.6419803407225,135.326513623756,28,3.06961030513048,5.69088812638074,1019354,0,0,2,6073.0316660809,461635.258679109,3,0.872747243149206,5,TRUE,0,2,11,1,0,2,8,0,2,0,0,0,1,6.20672651974721,0.247104779447243,0.588486031063324,0
42,502,"Female",8,3,1,113931.57,402017.165332774,7,0,876.327415986557,1,0,0,4.5,4.75,230,189.069343410433,137.153906362521,275.820840144201,28,4.66560815647244,7.28071856591851,3838604,0,0,31,26801.1940004769,9734.5223507182,0,1.10330380890518,0,TRUE,0,2,0,3,2,1,0,1,0,3,1,1,0,7.12218992041797,0.272728902125561,6.99119966844636,1
39,699,"Female",1,2,0,93826.63,453322.379540016,2,0,796.013289021374,1,0,0,7,10,230,170.799791548283,18.4086666665453,112.156751449908,34,10.4926789393649,10.4361061262898,3467651,0,0,4,31065.0001215797,0,1,1.04650941421278,1,TRUE,0,1,2,0,0,1,3,1,0,1,3,2,0,3.77020976615902,0.263745818594642,6.73215247568515,1
43,850,"Female",2,1,1,79084.1,494407.018302111,8,0,699.144435284796,0,0,0,9.75,3.25,230,125.282355357353,92.9925734907623,164.277093912938,26,3.45340798632242,12.6637772901449,754903,0,0,3,8279.60851143816,34090.6329119777,0,1.09992932411842,0,TRUE,0,0,0,2,3,1,0,0,2,0,1,2,2,3.61958057705718,0,-1.38177843404301,0
44,645,"Male",8,2,1,149756.71,483920.919147169,8,0,999.683454704714,1,0,0,8.5,5,230,175.573703789484,13.4230696654666,101.675594540921,23,5.45583050721325,11.6565859131515,4778532,0,0,3,49878.6645920407,0,1,1.27310284292325,3,TRUE,0,1,2,0,2,0,4,1,2,0,1,2,0,5.89734175043164,0.152785915988746,4.49139825253595,1
50,822,"Male",7,2,1,10062.8,594244.754012655,0,0,347.515177324314,1,0,0,4,5.25,230,325.083188192024,22.6556696778975,50.9799656340768,26,5.16538785235025,6.98962553427555,368296,0,0,5,2563.9609526226,417437.488795673,1,0.76267715562135,1,TRUE,0,1,3,2,1,0,1,1,0,0,0,0,0,7.86530958290287,0.214885893955179,1.26551613110226,0
29,376,"Female",4,4,1,119346.88,434818.062086168,8,1,534.071980379258,1,0,0,10,9,230,127.457071844168,0,154.515051899788,30,8.66736129578203,12.9731137652416,5423957,0,1,4,59885.8230423298,295154.145142179,0,0.728142928751185,0,TRUE,1,1,0,2,1,4,0,2,0,1,1,1,2,6.4027449475649,0.25826662155477,-4.14134779063968,0
44,501,"Male",4,2,0,74940.5,270835.285140116,7,0,338.662986629697,1,0,0,4.25,7.5,178.911896159949,202.189221161433,118.066262924083,121.930798985462,30,7.53514168434776,7.62347667687573,1221153,0,0,2,8641.96493126813,56795.3009744354,0,1.02553921402432,0,TRUE,0,0,0,1,0,1,0,5,1,2,2,0,2,7.18462944723697,0.143350629756263,0.870737485875553,0
27,684,"Male",2,1,1,71725.73,505677.763197557,3,1,686.872791488138,0,0,0,3,7.25,200.371859486705,147.111670886209,10.4263792227835,2.31957814053676,39,7.62961017107591,5.53700974187814,7261382,0,1,4,37900.4052979415,0,1,0.967476761154831,1,TRUE,1,0,1,2,2,3,1,4,0,0,0,0,2,6.69645324631787,0.198468967841111,1.68482907828658,0
