note,duration,octave,part,measure,chord,lyrics,track,pitch,tags
r,4,NA,A,1,,,Melody,NA,
r,1,NA,A,1,,,Melody,NA,
d,1,4,A,1,,,Melody,D4,
b_,1,4,A,1,,,Melody,B-4,
a,1,4,A,1,,,Melody,A4,
g,4,4,A,2,Gm,,Melody,G4,
g,1,4,A,2,,,Melody,G4,
f,1,4,A,2,,,Melody,F4,
e_,1,4,A,2,,,Melody,E-4,
d,1,4,A,2,,,Melody,D4,
e_,4,4,A,3,Cm,,Melody,E-4,
r,1,NA,A,3,,,Melody,NA,
c,1,4,A,3,,,Melody,C3,
c,1,5,A,3,,,Melody,C4,
b_,1,4,A,3,,,Melody,B-4,
a,3,4,A,4,F,,Melody,A4,
f,1,4,A,4,,,Melody,F4,
g,2,4,A,4,,,Melody,G4,
f,1,4,A,4,,,Melody,F4,
e_,1,4,A,4,,,Melody,E-4,
d,4,4,A,5,Gm,,Melody,D4,
r,1,4,A,5,,,Melody,NA,
d,1,4,A,5,,,Melody,D4,
b_,1,4,A,5,,,Melody,B-4,
a,1,4,A,5,,,Melody,A4,
g,4,4,A,6,,,Melody,G4,
r,1,4,A,6,,,Melody,NA,
f,1,4,A,6,,,Melody,F4,
e_,1,4,A,6,,,Melody,E-4,
d,1,4,A,6,,,Melody,D4,
e_,4,4,A,7,Cm,,Melody,E-4,
r,1,NA,A,7,,,Melody,NA,
c,1,4,A,7,,,Melody,A3,
f,1,4,A,7,,,Melody,E-4,
b_,1,4,A,7,,,Melody,B-4,
a,4,4,A,8,F,,Melody,A4,
r,1,4,A,8,,,Melody,NA,
a,1,4,A,8,,,Melody,A4,
g,1,4,A,8,,,Melody,G4,
f,1,4,A,8,,,Melody,F4,
g,4,4,A,9,Gm,,Melody,G4,
r,4,NA,A,9,,,Melody,NA,
r,4,NA,A,10,,,Melody,NA,
r,1,NA,A,10,,,Melody,NA,
d,1,4,A,10,,,Melody,D4,
b_,1,4,A,10,,,Melody,B-4,
a,1,4,A,10,,,Melody,A4,
g,4,4,A,11,Gm,,Melody,G4,
g,1,4,A,11,,,Melody,G4,
f,1,4,A,11,,,Melody,F4,
e_,1,4,A,11,,,Melody,E-4,
d,1,4,A,11,,,Melody,D4,
e_,4,4,A,12,Cm,,Melody,E-4,
r,1,NA,A,12,,,Melody,NA,
c,1,4,A,12,,,Melody,C3,
c,1,5,A,12,,,Melody,C4,
b_,1,4,A,12,,,Melody,B-4,
a,3,4,A,13,F,,Melody,A4,
f,1,4,A,13,,,Melody,F4,
g,2,4,A,13,,,Melody,G4,
f,1,4,A,13,,,Melody,F4,
e_,1,4,A,13,,,Melody,E-4,
d,4,4,A,14,Gm,,Melody,D4,
r,1,4,A,14,,,Melody,NA,
d,1,4,A,14,,,Melody,D4,
b_,1,4,A,14,,,Melody,B-4,
a,1,4,A,14,,,Melody,A4,
g,4,4,A,15,,,Melody,G4,
r,1,4,A,15,,,Melody,NA,
f,1,4,A,15,,,Melody,F4,
e_,1,4,A,15,,,Melody,E-4,
d,1,4,A,15,,,Melody,D4,
e_,4,4,A,16,Cm,,Melody,E-4,
r,1,NA,A,16,,,Melody,NA,
c,1,4,A,16,,,Melody,A3,
f,1,4,A,16,,,Melody,E-4,
b_,1,4,A,16,,,Melody,B-4,
a,4,4,A,17,F,,Melody,A4,
r,1,4,A,17,,,Melody,NA,
a,1,4,A,17,,,Melody,A4,
g,1,4,A,17,,,Melody,G4,
f,1,4,A,17,,,Melody,F4,
g,4,4,A,18,Gm,,Melody,G4,
r,4,NA,A,18,,,Melody,NA,
r,4,4,B,19,,,Melody,NA,
r,1,4,B,19,,,Melody,NA,
d,1,4,B,19,,cha,Melody,D4,
g,1,4,B,19,,ma,Melody,G4,
a,1,4,B,19,,doo,Melody,A4,
b_,4,4,B,20,,naa,Melody,B-4,
a,1,4,B,20,,moo,Melody,A4,
g,2,4,B,20,,no,Melody,G4,
f,1,4,B,20,,bas,Melody,F4,
e_,4,4,B,21,Cm,tim,Melody,E-4,
r,1,4,B,21,,,Melody,NA,
e_,1,4,B,21,,mes,Melody,E-4,
f,1,4,B,21,,le,Melody,A4,
g,1,4,B,21,,chesh,Melody,G4,
a,1,4,B,22,F,ma,Melody,A4,
a,4,4,B,22,,moon,Melody,A4,
g,1,4,B,22,,ro,Melody,G4,
f,2,4,B,22,,khoo,Melody,F4,
g,4,4,B,23,Gm,ne,Melody,A4,
r,1,4,B,23,,,Melody,NA,
d,1,4,B,23,,mi,Melody,D4,
g,1,4,B,23,,doo,Melody,G4,
a,1,4,B,23,,nes,Melody,A4,
b_,4,4,B,24,Gm,tim,Melody,B-4,
a,1,4,B,24,,da,Melody,A4,
g,1,4,B,24,,me,Melody,G4,
f,2,4,B,24,,aa,Melody,F4,
e_,4,4,B,25,Cm,khar,Melody,E-4,
r,1,4,B,25,,,Melody,NA,
e_,1,4,B,25,,ye,Melody,E-4,
f,1,4,B,25,,chi,Melody,F4,
